Republican_percent,Republican_number,Democratic_percent,Democratic_number,State,year,President
52.01,927837,39.94,712586,LA,1996,Bill Clinton
51.62,312788,30.76,186378,ME,1996,Bill Clinton
54.25,966207,38.27,681530,MD,1996,Bill Clinton
61.47,1571763,28.09,718107,MA,1996,Bill Clinton
51.69,1989653,38.48,1481212,MI,1996,Bill Clinton
51.1,1120438,34.96,766476,MN,1996,Bill Clinton
44.08,394022,49.21,439838,MS,1996,Bill Clinton
47.54,1025935,41.24,890016,MO,1996,Bill Clinton
41.23,167922,44.11,179652,MT,1996,Bill Clinton
34.95,236761,53.65,363467,NE,1996,Bill Clinton
43.93,203974,42.91,199244,NV,1996,Bill Clinton
49.32,246214,39.37,196532,NH,1996,Bill Clinton
53.72,1652329,35.86,1103078,NJ,1996,Bill Clinton
49.18,273495,41.86,232751,NM,1996,Bill Clinton
59.47,3756177,30.61,1933492,NY,1996,Bill Clinton
44.04,1107849,48.73,1225938,NC,1996,Bill Clinton
40.13,106905,46.94,125050,ND,1996,Bill Clinton
47.38,2148222,41.02,1859883,OH,1996,Bill Clinton
40.45,488105,48.26,582315,OK,1996,Bill Clinton
47.15,649641,39.06,538152,OR,1996,Bill Clinton
49.17,2215819,39.97,1801169,PA,1996,Bill Clinton
59.71,233050,26.82,104683,RI,1996,Bill Clinton
43.85,504051,49.89,573458,SC,1996,Bill Clinton
43.03,139333,46.49,150543,SD,1996,Bill Clinton
48,909146,45.59,863530,TN,1996,Bill Clinton
43.83,2459683,48.76,2736167,TX,1996,Bill Clinton
33.3,221633,54.37,361911,UT,1996,Bill Clinton
53.35,137894,31.09,80352,VT,1996,Bill Clinton
45.15,1091060,47.1,1138350,VA,1996,Bill Clinton
49.84,1123323,37.3,840712,WA,1996,Bill Clinton
51.51,327812,36.76,233946,WV,1996,Bill Clinton
48.81,1071971,38.48,845029,WI,1996,Bill Clinton
36.84,77934,49.81,105388,WY,1996,Bill Clinton
49.24,47400125,40.71,39198755,United States,1996,Bill Clinton
56.48,941173,41.57,692611,AL,2000,George W. Bush
58.62,167398,27.67,79004,AK,2000,George W. Bush
51.02,781652,44.73,685341,AZ,2000,George W. Bush
51.31,472940,45.86,422768,AR,2000,George W. Bush
41.65,4567429,53.45,5861203,CA,2000,George W. Bush
50.75,883748,42.39,738227,CO,2000,George W. Bush
38.44,561094,55.91,816015,CT,2000,George W. Bush
41.9,137288,54.96,180068,DE,2000,George W. Bush
8.95,18073,85.16,171923,D.C.,2000,George W. Bush
48.85,2912790,48.84,2912253,FL,2000,George W. Bush
54.67,1419720,42.98,1116230,GA,2000,George W. Bush
37.46,137845,55.79,205286,HI,2000,George W. Bush
67.17,336937,27.64,138637,ID,2000,George W. Bush
42.58,2019421,54.6,2589026,IL,2000,George W. Bush
56.65,1245836,41.01,901980,IN,2000,George W. Bush
48.22,634373,48.54,638517,IA,2000,George W. Bush
58.04,622332,37.24,399276,KS,2000,George W. Bush
56.5,872492,41.37,638898,KY,2000,George W. Bush
52.55,927871,44.88,792344,LA,2000,George W. Bush
43.97,286616,49.09,319951,ME,2000,George W. Bush
40.18,813797,56.57,1145782,MD,2000,George W. Bush
32.5,878502,59.8,1616487,MA,2000,George W. Bush
46.15,1953139,51.28,2170418,MI,2000,George W. Bush
45.5,1109659,47.91,1168266,MN,2000,George W. Bush
