Republican_percent,Republican_votes,Democratic_percent,Democratic_votes,State,year,President
55.79,554049,42.56,422636,KS,1988,George H.W. Bush
55.52,734281,43.88,580368,KY,1988,George H.W. Bush
54.27,883702,44.06,734281,LA,1988,George H.W. Bush
55.34,307131,43.88,243569,ME,1988,George H.W. Bush
51.11,876167,48.2,826304,MD,1988,George H.W. Bush
45.38,1194644,53.23,1401406,MA,1988,George H.W. Bush
53.57,1965486,45.67,1675783,MI,1988,George H.W. Bush
45.9,962337,52.91,1109471,MN,1988,George H.W. Bush
59.89,557890,39.07,363921,MS,1988,George H.W. Bush
51.83,1084953,47.85,1001619,MO,1988,George H.W. Bush
52.07,190412,46.2,168936,MT,1988,George H.W. Bush
60.15,398447,39.2,259646,NE,1988,George H.W. Bush
58.86,206040,37.92,132738,NV,1988,George H.W. Bush
62.49,281537,36.33,163696,NH,1988,George H.W. Bush
56.24,1743192,42.6,1320352,NJ,1988,George H.W. Bush
51.86,270341,46.9,244497,NM,1988,George H.W. Bush
47.52,3081871,51.62,3347882,NY,1988,George H.W. Bush
57.97,1237258,41.71,890167,NC,1988,George H.W. Bush
56.03,166559,42.97,127739,ND,1988,George H.W. Bush
55,2416549,44.15,1939629,OH,1988,George H.W. Bush
57.93,678367,41.28,483423,OK,1988,George H.W. Bush
46.61,560126,51.28,616206,OR,1988,George H.W. Bush
50.7,2300087,48.39,2194944,PA,1988,George H.W. Bush
43.93,177761,55.64,225123,RI,1988,George H.W. Bush
61.5,606443,37.58,370554,SC,1988,George H.W. Bush
52.85,165415,46.51,145560,SD,1988,George H.W. Bush
57.89,947233,41.55,679794,TN,1988,George H.W. Bush
55.95,3036829,43.35,2352748,TX,1988,George H.W. Bush
66.22,428442,32.05,207343,UT,1988,George H.W. Bush
51.1,124331,47.58,115775,VT,1988,George H.W. Bush
59.74,1309162,39.23,859799,VA,1988,George H.W. Bush
48.46,903835,50.05,933516,WA,1988,George H.W. Bush
47.46,310065,52.2,341016,WV,1988,George H.W. Bush
47.8,1047499,51.41,1126794,WI,1988,George H.W. Bush
60.53,106867,38.01,67113,WY,1988,George H.W. Bush
53.37,48886597,45.65,41809476,United States,1988,George H.W. Bush
47.65,804283,40.88,690080,AL,1992,Bill Clinton
39.46,102000,30.29,78294,AK,1992,Bill Clinton
38.47,572086,36.52,543050,AZ,1992,Bill Clinton
35.48,337324,53.21,505823,AR,1992,Bill Clinton
32.61,3630574,46.01,5121325,CA,1992,Bill Clinton
35.87,562850,40.13,629681,CO,1992,Bill Clinton
35.78,578313,42.21,682318,CT,1992,Bill Clinton
35.78,102313,43.52,126054,DE,1992,Bill Clinton
9.1,20698,84.64,192619,D.C.,1992,Bill Clinton
40.89,2173310,39,2072698,FL,1992,Bill Clinton
42.88,995252,43.47,1008966,GA,1992,Bill Clinton
36.7,136822,48.09,179310,HI,1992,Bill Clinton
42.03,202645,28.42,137013,ID,1992,Bill Clinton
34.34,1734096,48.58,2453350,IL,1992,Bill Clinton
42.91,989375,36.79,848420,IN,1992,Bill Clinton
37.27,504891,43.29,586353,IA,1992,Bill Clinton
38.88,449951,33.74,390434,KS,1992,Bill Clinton
41.34,617178,44.55,665104,KY,1992,Bill Clinton
40.97,733386,45.58,815971,LA,1992,Bill Clinton
30.39,206504,38.77,263420,ME,1992,Bill Clinton
35.62,707094,49.8,988571,MD,1992,Bill Clinton
29.03,805049,47.54,1318662,MA,1992,Bill Clinton
36.38,1554940,43.77,1871182,MI,1992,Bill Clinton
31.85,747841,43.48,1020997,MN,1992,Bill Clinton
49.68,487793,40.77,400258,MS,1992,Bill Clinton
33.92,811159,44.07,1053873,MO,1992,Bill Clinton
35.12,144207,37.63,154507,MT,1992,Bill Clinton
46.58,344346,29.4,217344,NE,1992,Bill Clinton
34.73,175828,37.36,189148,NV,1992,Bill Clinton
37.69,202484,38.91,209040,NH,1992,Bill Clinton
40.58,1356865,42.95,1436206,NJ,1992,Bill Clinton
37.34,212824,45.9,261617,NM,1992,Bill Clinton
33.88,2346649,49.73,3444450,NY,1992,Bill Clinton
43.44,1134661,42.65,1114042,NC,1992,Bill Clinton
44.22,136244,32.18,99168,ND,1992,Bill Clinton
38.35,1894310,40.18,1984942,OH,1992,Bill Clinton
42.65,592929,34.02,473066,OK,1992,Bill Clinton
32.53,475757,42.48,621314,OR,1992,Bill Clinton
36.13,1791841,45.15,2239164,PA,1992,Bill Clinton
29.02,131601,47.04,213299,RI,1992,Bill Clinton
48.02,577507,39.88,479514,SC,1992,Bill Clinton
40.66,136718,37.14,124888,SD,1992,Bill Clinton
42.43,841300,47.08,933521,TN,1992,Bill Clinton
40.56,2496071,37.08,2281815,TX,1992,Bill Clinton
43.36,322632,24.65,183429,UT,1992,Bill Clinton
30.42,88122,46.11,133592,VT,1992,Bill Clinton
44.97,1150517,40.59,1038650,VA,1992,Bill Clinton
31.97,731234,43.41,993037,WA,1992,Bill Clinton
35.39,241974,48.41,331001,WV,1992,Bill Clinton
36.78,930855,41.13,1041066,WI,1992,Bill Clinton
39.7,79347,34.1,68160,WY,1992,Bill Clinton
37.45,39104550,43.01,44909806,United States,1992,Bill Clinton
50.12,769044,43.16,662165,AL,1996,Bill Clinton
50.8,122746,33.27,80380,AK,1996,Bill Clinton
44.29,622073,46.52,653288,AZ,1996,Bill Clinton
36.8,325416,53.74,475171,AR,1996,Bill Clinton
38.21,3828380,51.1,5119835,CA,1996,Bill Clinton
45.8,691848,44.43,671152,CO,1996,Bill Clinton
34.69,483109,52.83,735740,CT,1996,Bill Clinton
36.58,99062,51.8,140355,DE,1996,Bill Clinton
9.34,17339,85.19,158220,D.C.,1996,Bill Clinton
42.32,2244536,48.02,2546870,FL,1996,Bill Clinton
47.01,1080843,45.84,1053849,GA,1996,Bill Clinton
31.64,113943,56.93,205012,HI,1996,Bill Clinton
52.18,256595,33.65,165443,ID,1996,Bill Clinton
36.81,1587021,54.32,2341744,IL,1996,Bill Clinton
47.13,1006693,41.55,887424,IN,1996,Bill Clinton
39.92,492644,50.26,620258,IA,1996,Bill Clinton
54.29,583245,36.08,387659,KS,1996,Bill Clinton
44.88,623283,45.84,636614,KY,1996,Bill Clinton
39.94,712586,52.01,927837,LA,1996,Bill Clinton
30.76,186378,51.62,312788,ME,1996,Bill Clinton
38.27,681530,54.25,966207,MD,1996,Bill Clinton
28.09,718107,61.47,1571763,MA,1996,Bill Clinton
38.48,1481212,51.69,1989653,MI,1996,Bill Clinton
34.96,766476,51.1,1120438,MN,1996,Bill Clinton
49.21,439838,44.08,394022,MS,1996,Bill Clinton
41.24,890016,47.54,1025935,MO,1996,Bill Clinton
44.11,179652,41.23,167922,MT,1996,Bill Clinton
53.65,363467,34.95,236761,NE,1996,Bill Clinton
42.91,199244,43.93,203974,NV,1996,Bill Clinton
39.37,196532,49.32,246214,NH,1996,Bill Clinton
35.86,1103078,53.72,1652329,NJ,1996,Bill Clinton
41.86,232751,49.18,273495,NM,1996,Bill Clinton
30.61,1933492,59.47,3756177,NY,1996,Bill Clinton
48.73,1225938,44.04,1107849,NC,1996,Bill Clinton
46.94,125050,40.13,106905,ND,1996,Bill Clinton
41.02,1859883,47.38,2148222,OH,1996,Bill Clinton
48.26,582315,40.45,488105,OK,1996,Bill Clinton
39.06,538152,47.15,649641,OR,1996,Bill Clinton
39.97,1801169,49.17,2215819,PA,1996,Bill Clinton
26.82,104683,59.71,233050,RI,1996,Bill Clinton
49.89,573458,43.85,504051,SC,1996,Bill Clinton
46.49,150543,43.03,139333,SD,1996,Bill Clinton
45.59,863530,48,909146,TN,1996,Bill Clinton
48.76,2736167,43.83,2459683,TX,1996,Bill Clinton
54.37,361911,33.3,221633,UT,1996,Bill Clinton
31.09,80352,53.35,137894,VT,1996,Bill Clinton
47.1,1138350,45.15,1091060,VA,1996,Bill Clinton
37.3,840712,49.84,1123323,WA,1996,Bill Clinton
36.76,233946,51.51,327812,WV,1996,Bill Clinton
38.48,845029,48.81,1071971,WI,1996,Bill Clinton
49.81,105388,36.84,77934,WY,1996,Bill Clinton
40.71,39198755,49.24,47400125,United States,1996,Bill Clinton
56.48,941173,41.57,692611,AL,2000,George W. Bush
58.62,167398,27.67,79004,AK,2000,George W. Bush
51.02,781652,44.73,685341,AZ,2000,George W. Bush
51.31,472940,45.86,422768,AR,2000,George W. Bush
41.65,4567429,53.45,5861203,CA,2000,George W. Bush
50.75,883748,42.39,738227,CO,2000,George W. Bush
38.44,561094,55.91,816015,CT,2000,George W. Bush
41.9,137288,54.96,180068,DE,2000,George W. Bush
8.95,18073,85.16,171923,D.C.,2000,George W. Bush
48.85,2912790,48.84,2912253,FL,2000,George W. Bush
54.67,1419720,42.98,1116230,GA,2000,George W. Bush
37.46,137845,55.79,205286,HI,2000,George W. Bush
67.17,336937,27.64,138637,ID,2000,George W. Bush
42.58,2019421,54.6,2589026,IL,2000,George W. Bush
56.65,1245836,41.01,901980,IN,2000,George W. Bush
48.22,634373,48.54,638517,IA,2000,George W. Bush
58.04,622332,37.24,399276,KS,2000,George W. Bush
56.5,872492,41.37,638898,KY,2000,George W. Bush
52.55,927871,44.88,792344,LA,2000,George W. Bush
43.97,286616,49.09,319951,ME,2000,George W. Bush
40.18,813797,56.57,1145782,MD,2000,George W. Bush
32.5,878502,59.8,1616487,MA,2000,George W. Bush
46.15,1953139,51.28,2170418,MI,2000,George W. Bush
45.5,1109659,47.91,1168266,MN,2000,George W. Bush
57.62,572844,40.7,404614,MS,2000,George W. Bush
50.42,1189924,47.08,1111138,MO,2000,George W. Bush
58.44,240178,33.36,137126,MT,2000,George W. Bush
62.25,433862,33.25,231780,NE,2000,George W. Bush
49.52,301575,45.98,279978,NV,2000,George W. Bush
48.07,273559,46.8,266348,NH,2000,George W. Bush
40.29,1284173,56.13,1788850,NJ,2000,George W. Bush
47.85,286417,47.91,286783,NM,2000,George W. Bush
35.23,2403374,60.21,4107697,NY,2000,George W. Bush
56.03,1631163,43.2,1257692,NC,2000,George W. Bush
60.66,174852,33.06,95284,ND,2000,George W. Bush
49.97,2351209,46.46,2186190,OH,2000,George W. Bush
60.31,744337,38.43,474276,OK,2000,George W. Bush
46.52,713577,46.96,720342,OR,2000,George W. Bush
46.43,2281127,50.6,2485967,PA,2000,George W. Bush
31.91,130555,60.99,249508,RI,2000,George W. Bush
56.84,785937,40.9,565561,SC,2000,George W. Bush
60.3,190700,37.56,118804,SD,2000,George W. Bush
51.15,1061949,47.28,981720,TN,2000,George W. Bush
59.3,3799639,37.98,2433746,TX,2000,George W. Bush
66.83,515096,26.34,203053,UT,2000,George W. Bush
40.7,119775,50.63,149022,VT,2000,George W. Bush
52.47,1437490,44.44,1217290,VA,2000,George W. Bush
44.58,1108864,50.16,1247652,WA,2000,George W. Bush
51.92,336475,45.59,295497,WV,2000,George W. Bush
47.61,1237279,47.83,1242987,WI,2000,George W. Bush
67.76,147947,27.7,60481,WY,2000,George W. Bush
47.87,50456002,48.38,50999897,United States,2000,George W. Bush
62.46,1176394,36.84,693933,AL,2004,George W. Bush
61.07,190889,35.52,111025,AK,2004,George W. Bush
54.87,1104294,44.4,893524,AZ,2004,George W. Bush
54.31,572898,44.55,469953,AR,2004,George W. Bush
44.36,5509826,54.31,6745485,CA,2004,George W. Bush
51.69,1101255,47.02,1001732,CO,2004,George W. Bush
43.95,693826,54.31,857488,CT,2004,George W. Bush
45.75,171660,53.35,200152,DE,2004,George W. Bush
9.34,21256,89.18,202970,D.C.,2004,George W. Bush
52.1,3964522,47.09,3583544,FL,2004,George W. Bush
57.97,1914254,41.37,1366149,GA,2004,George W. Bush
45.26,194191,54.01,231708,HI,2004,George W. Bush
68.38,409235,30.26,181098,ID,2004,George W. Bush
44.48,2345946,54.82,2891550,IL,2004,George W. Bush
59.94,1479438,39.26,969011,IN,2004,George W. Bush
49.9,751957,49.23,741898,IA,2004,George W. Bush
62,736456,36.62,434993,KS,2004,George W. Bush
59.55,1069439,39.69,712733,KY,2004,George W. Bush
56.72,1102169,42.22,820299,LA,2004,George W. Bush
44.58,330201,53.57,396842,ME,2004,George W. Bush
42.93,1024703,55.91,1334493,MD,2004,George W. Bush
36.78,1071109,61.94,1803800,MA,2004,George W. Bush
47.81,2313746,51.23,2479183,MI,2004,George W. Bush
47.61,1346695,51.09,1445014,MN,2004,George W. Bush
59.45,684981,39.76,458094,MS,2004,George W. Bush
53.3,1455713,46.1,1259171,MO,2004,George W. Bush
59.07,266063,38.56,173710,MT,2004,George W. Bush
